Summary,Issue key,Issue Type,Project key,Project name,Components,Labels,Description,Outward issue link (Relates),Custom field (Content Type),Custom field (Issue Code),Platforms,Populations,Custom field (Recommended Code),Custom field (Reference(s)),Custom field (Remediation Guidance),Custom field (Severity),WCAG SC,Custom field (Youtube Video URL)
Focus not visible on Content Structure pane,GUT-26,Bug,GUT,Gutenberg,Structure and Navigation   ,Focus ,"Keyboard users cannot see their focus position within the Content Structure popover, when focus is on the popover itself, or on the ""Document Statistics"" section within it.

All focused elements should have a visible and obvious focus indicator, so that sighted keyboard users have a clear indication of which element has focus.

 !no_focus.png|alt=Screenshot of the Content Structure dropdown open with only the summary visible! ",,Keyboard Accessibility and Focus Control,"<div class=""components-popover__content"" tabindex=""-1"">
    <div class=""table-of-contents__counts"" role=""note"" aria-label=""Document Statistics"" tabindex=""0"">
        ...
    </div>
</div>
...
a, div {
    outline: 0;
}",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,"components-popover__content {
    /* some outline style */
}",,"Remove the CSS which negates the focus style on these elements, or override it with specific focus styles on the applicable elements.",Medium,2.4.7 Focus Visible (Level AA)  ,
Content lacks semantic markup,GUT-25,Bug,GUT,Gutenberg,Structure and Navigation   ,Semantics ,"The Content Structure panel includes a summary of the content by type, and some text that's styled and positioned like a heading (""Document Outline""), however this content does not use appropriate semantic markup.

Semantic markup is vital for assistive technology users, to convey the structure and relationships between information. When appropriate semantic markup is not used, it may be more difficult for such users to understand what the content means, and to comprehend the structure that the visual presentation conveys.

 !semantics_no_heading.png|alt=Screenshot of the content that is described here! ",,Document Structure,"<div class=""table-of-contents__counts"" role=""note"" aria-label=""Document Statistics"" tabindex=""0"">
    <div class=""table-of-contents__count"">Words<span class=""word-count"">901</span></div>
    <div class=""table-of-contents__count"">Headings<span class=""table-of-contents__number"">7</span></div>
    <div class=""table-of-contents__count"">Paragraphs<span class=""table-of-contents__number"">27</span></div>
    <div class=""table-of-contents__count"">Blocks<span class=""table-of-contents__number"">68</span></div>
</div>

<span class=""table-of-contents__title"">Document Outline</span>",All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,"<div class=""table-of-contents__counts"" role=""note"" aria-label=""Document Statistics"" tabindex=""0"">
    <dl>
        <div class=""table-of-contents__count"">
            <dt>Words</dt>
            <dd class=""word-count"">901</dd>
        </div>
        <div class=""table-of-contents__count"">
            <dt>Headings</dt>
            <dd class=""table-of-contents__number"">7</dd>
        </div>
        <div class=""table-of-contents__count"">
            <dt>Paragraphs</dt>
            <dd class=""table-of-contents__number"">27</dd>
        </div>
        <div class=""table-of-contents__count"">
            <dt>Blocks</dt>
            <dd class=""table-of-contents__number"">68</dd>
        </div>
    </dl>
</div>

<h2 class=""table-of-contents__title"">Document Outline</h2>",,"Use a structure such as `<ul>` or `<dl>` to semantically associate the content type information.

Elements which are styled and positioned like headings should be marked-up as headings. The Recommended Code uses an `<h2>` on the assumption that the open panel should be treated as standalone context within the page (i.e. at a level beneath the page's `<h1>`).",Low,"1.3.1 Info and Relationships (Level A); 2.4.6 Headings and Labels (Level AA); 4.1.2 Name, Role, Value (Level A) ",
Content overlaps at 200% text enlarge,GUT-21,Bug,GUT,Gutenberg,Structure and Navigation   ,Text_enlarge ,"The summary text at the top of the Content Structure popup is unreadable at 200% text enlarge, due to overlapping text. The containers have set widths and cannot adjust to changes in font-size, which causes individual words (which cannot wrap without hard word-breaks) to overflow their containers.

The ability to resize text is essential for users with low-vision, and may be helpful for users who have a cognitive disability. Catering to zoom alone is not sufficient because the browser's font-size may be increased independently of zoom level.

 !200_percent_content_structure.png|alt=screenshot of the content with the issue described here!

",GUT-25,Text Content and Typography,".table-of-contents__count {
    width: 25%;
    display: flex;
    flex-direction: column;
    ...
}",All/ Universal,Cognitively Impaired; Low-Vision ,,,"Avoid fixed widths on containers (even percentage-based widths) when the content inside cannot wrap.

Instead, set min-widths on containers, and allow them to expand with increases in content size, allowing the containers themselves to wrap as needed.",Medium,1.4.4 Resize text (Level AA)  ,
Buttons are low contrast and focus not visible,GUT-20,Bug,GUT,Gutenberg,Document Panel; Publish and Unpublish,Contrast; Contrast_nonText; ,"The focus outline for several buttons within the Publish panel have insufficient color contrast, below the minimum threshold of 3:1 for interface components:

* Date picker month navigation buttons :  #c4c4c4 (ash) against #fff (white): *1.74:1*.
* Copy link & view post buttons: #bfe7f3 (light blue) against #fff (white): *1.31:1*.
* AM & PM button when not pressed : #bfe7f3 (light blue) against #fff (white): *1.31:1*.
* AM & PM button when pressed : focus outline cannot be seen

All interactive elements should have a visible and obvious focus indicator, so that sighted keyboard users have a clear indication of which element has focus. Sufficient color contrast showing states is important for users who have low-vision or are color-blind, because states with a low contrast ratio may be difficult or impossible for such users to see.

 !Insufficient Focus outline.png|alt=Screenshot of the content with the issue described here!

 !Insufficient Focus outline 2.png|alt=Screenshot of the content with the issue described here! ",GUT-29,Keyboard Accessibility and Focus Control,"/* AM, PM buttons, View Post and Copy Links */
.components-button.is-default:focus:enabled {
    ...
    border-color: #999;
    box-shadow: inset 0 -1px 0 #999, 0 0 0 2px #bfe7f3;
    text-decoration: none;
}

/* date picker month navigation buttons */
.DayPickerNavigation_button__default:focus, .DayPickerNavigation_button__default:hover {
    border: 1px solid #c4c4c4;
    border-bottom-color: ;
}",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,"/* AM, PM buttons, View Post and Copy Links */
.components-button.is-default:focus {
    ...
    box-shadow: inset 0px 0px 0px 1px #00435d;
    outline: 2px solid transparent;
}

/* date picker month navigation buttons */
.DayPickerNavigation_button__default:focus, .DayPickerNavigation_button__default:hover {
    border: 1px solid #8E8E8E;
    outline: 3px solid transparent;
}",,"Darken the `border` or `box-shadow` colors used for focus states to achieve a minimum contrast ratio of 3:1 relative to the white backgrounds.

Add transparent outlines to ensure that the focus can still be seen by Windows High Contrast users (see GUT-29) and remove the negative `outline-offset` so that the outline doesn't overlap the border.

The combination of `:focus` with `:enabled` seems unsupported for elements which do not have a `disabled` state in most browsers, so use another method to style focus states until browser support has improved.
",Medium,1.4.11 Non-text Contrast (Level AA); 1.4.1 Use of Color (Level A); 2.4.7 Focus Visible (Level AA) ,
Insufficient color contrast for calendar selected date and Publish button,GUT-19,Bug,GUT,Gutenberg,Document Panel; Publish and Unpublish,Contrast; Contrast_nonText; ,"The selected date within the calendar, and the ""Publish"" button, have insufficient color contrast, below the minimum threshold of 4.5:1 for text:

* ""Publish"" button: #fff (white) on #0085ba (blue): *4.15:1*
* Selected date within the calendar: #fff (white) on #0085ba (blue): *4.15:1*

Sufficient color contrast is important for users who have low-vision or are color-blind, because text with a low contrast ratio may be difficult or impossible for such users to see.

!Low Color Contrast.png|alt=Screenshot of the content with the issue described here! ",,Color,"/* selected calendar date */
.components-datetime__date .CalendarDay__selected {
    background: #0085ba;
}
.CalendarDay__selected,
.CalendarDay__selected:active,
.CalendarDay__selected:hover {
    ...
    color: #fff;
}

/* Publish button */
.components-button.is-primary {
    background: #0085ba;
     ...
    color: #fff;
}
",All/ Universal,Cognitively Impaired; Low-Vision ,"/* selected calendar date */
.components-datetime__date .CalendarDay__selected {
    background: #006a95;
}
.CalendarDay__selected,
.CalendarDay__selected:active,
.CalendarDay__selected:hover {
    ...
    color: #fff;
}

/* Publish button */
.components-button.is-primary {
    background: #006a95;
     ...
    color: #fff;
}",,"Darken the background color to achieve a minimum contrast of 4.5:1.
",Medium,1.4.3 Contrast (Minimum) (Level AA)  ,
Unnecessary use of aria-label,GUT-18,Warning,GUT,Gutenberg,Add Block   , ,"The content inside the dropdown/popup of the ""Add Block"" button uses redundant `aria-label` attributes on the block type buttons. This text is also already visible even in the mobile view, and the SVGs are correctly hidden from assistive technology, therefore the `aria-label` text is not needed.

It appears the normally-unnecessary `role=list` on the unordered list is essential to making Firefox expose the list semantics.

While redundant labels do not affect end-users, unnecessary `aria-label` attributes create the possibility of mismatches between visible labels and accessible names when content is updated.

 !aria-labels.png|alt=screenshot of the content of the issue described here!

",,"Role, State, and Accessibility Properties","<button class=""..."" aria-label=""Paragraph"">
    <span class=""..."">
        <span class=""..."">
            <svg aria-hidden=""true""...></svg>
        </span>
    </span>
    <span class=""editor-block-types-list__item-title"">Paragraph</span></button>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Dragon; Windows - Screen Reader; ,Blind; Cognitively Impaired; Low-Vision; ,"<button class=""..."">
    <span class=""..."">
        <span class=""..."">
            <svg aria-hidden=""true""...></svg>
        </span>
    </span>
    <span class=""editor-block-types-list__item-title"">Paragraph</span></button>",,"Remove the `aria-label` from the button and allow the visible text inside to label the button.

This prevents future potential mismatches between an invisible and a visible name.",Low,  ,
Focus not visible on block types in High Contrast modes,GUT-17,Bug,GUT,Gutenberg,Add Block   ,High_contrast ,"When users of Windows High Contrast mode navigate between potential block types, an outline is added to the currently-focussed block. However this outline is pulled inwards with an `outline-offset` property, which sets it directly over the  border. This makes it difficult to tell which element is focussed in browsers which support that property (currently all except IE).

All interactive elements should have a visible and obvious focus indicator even for high contrast users, so that sighted keyboard users have a clear indication of which element has focus.

 !high_contrast_outline.png|alt=screenshot of the Add Block submenu open. The focussed item is highlighted and shows the slight difference between a focussed and unfocussed item! ",,Keyboard Accessibility and Focus Control,".editor-block-types-list__item:not(:disabled).is-active, .editor-block-types-list__item:not(:disabled):active, .editor-block-types-list__item:not(:disabled):focus {
    outline: 0;
    ...
    outline: 2px solid transparent;
    outline-offset: -2px;
}",Windows - High Contrast,Low-Vision; Motor Impaired ,".editor-block-types-list__item:not(:disabled).is-active, .editor-block-types-list__item:not(:disabled):active, .editor-block-types-list__item:not(:disabled):focus {
    ...
    outline: 2px solid transparent;
}",,Remove the `outline-offset` rule and allow the outline to sit outside the border.,Medium,2.4.7 Focus Visible (Level AA)  ,
Radio button automatically changes the context on user focus,GUT-16,Bug,GUT,Gutenberg,Document Panel; Publish and Unpublish, ,"Under the ""Visibility"" section of the Publish panel, there are three radio buttons named ""Public"", ""Private"" and ""Password"". When the user selects the ""Private"" option, an alert appears asking if they want to publish the post privately, and clicking ""Yes"" then publishes the post immediately. This behaviour is not consistent with the expected behaviour of radio controls, and is not consistent with the behavior of the other two radios in that group.

Additionally, if the user clicks ""No"" in the alert, the focus is shifted to the ""Public"" radio control, rather than shifting back to the ""Private"" radio as would be expected.

!form submission without user notification.png|alt=Screenshot of the content with the issue described here! ",,Keyboard Accessibility and Focus Control,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"Remove the alert-and-publish behaviour from the ""Private"" radio, so that it behaves like a standard radio control. This will also resolve the focus management issue.",High,3.2.2 On Input (Level A); 3.2.5 Change on Request (Level AAA) ; ,
Keyboard focus is not managed when dynamic content disappears,GUT-15,Bug,GUT,Gutenberg,Publish and Unpublish   , ,"When the ""Calendar Help"" link or the ""Close"" button on its popup is clicked, the focus is reset to the top of the page, in all tested browsers except Chrome and chromium.

Keyboard and screen reader users rely on predictable and consistent focus control to navigate the page. When this is absent, users may find it much more difficult or even impossible to navigate using the keyboard.

 !gut-15.png|alt=Screenshot of the content that has the issue described here! ",,Keyboard Accessibility and Focus Control,"<!-- when Calendar help is clicked... -->
<button type=""button"" class=""components-button components-datetime__date-help-button is-link"">Calendar Help</button>

<!-- ...focus should be brought to the popup -->
<div class=""components-popover__content"" tabindex=""-1"" style=""max-height: 187.361px;"">
    ...<button type=""button"" class=""..."">Close</button>...
</div>

<!-- when the Close button is clicked, focus should move to Month control -->
<div class=""components-datetime__time-field components-datetime__time-field-month"">
    <select aria-label=""Month"" class=""..."">...</select>
</div>",All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"When the ""Calendar Help"" link is clicked, focus should move to the popup which is opened (which has `tabindex=""-1""`).

When the ""Close"" button is clicked, focus should move back to the Calendar Help's first focusable element (the month control).",Medium,2.1.1 Keyboard (Level A)  ,
Suggested tags should be a list,GUT-14,Bug,GUT,Gutenberg,Publish and Unpublish   ,Semantics ,"Users are provided with an option to add tags when publishing, however the tag list is not marked up as a list. Additional text elements have been used to convey the number of items (""1 out of 3"" etc.), however these do not sufficiently compensate for the lack of structural semantics.

Using list markup will aid comprehension for assistive technology users, by conveying the structure of the content and providing an overview of the number of items.

!Not in a list.png|alt=Screenshot of the content with the issue described here! ",GUT-40,Document Structure,"<div tabindex=""-1"" class=""..."">
    <span class=""components-form-token-field__token"">
        <span class=""components-form-token-field__token-text"" id=""components-form-token-field__token-text-3"">
            <span class=""screen-reader-text"">html (1 of 3)</span>
            <span aria-hidden=""true"">html</span>
        </span>
        <button class=""..."" aria-describedby=""components-form-token-field__token-text-3"" aria-label=""Remove Tag"" type=""button"">
            ...
        </button>
    </span>
    <span class=""components-form-token-field__token"">
        <span class=""components-form-token-field__token-text"" id=""components-form-token-field__token-text-4"">
            <span class=""screen-reader-text"">htm (2 of 3)</span>
            <span aria-hidden=""true"">htm</span>
        </span>
        <button class=""components-button components-icon-button components-form-token-field__remove-token"" aria-describedby=""components-form-token-field__token-text-4"" aria-label=""Remove Tag"" type=""button"">
            ...
        </button>
    </span>
    ...
    <input class=""components-form-token-field__input"" id=""components-form-token-input-1"" role=""combobox""...>
    ...
</div>",Mac - VoiceOver; Windows - Screen Reader  ,Blind; Cognitively Impaired; Low-Vision; ,"<div class=""components-form-token-field__input-container"" tabindex=""-1"">
    <ul class=""components-form-token-field__token"">
        <li>
            <span id=""components-form-token-field__token-text-0"" class=""..."">php</span>
            <button type=""button"" aria-label=""Remove Tag"" aria-describedby=""components-form-token-field__token-text-0"" class=""..."">...</button>
        </li>
        <li>
            <span id=""components-form-token-field__token-text-4"" class=""..."">html</span>
            <button type=""button"" aria-label=""Remove Tag"" aria-describedby=""components-form-token-field__token-text-4"" class=""..."">...</button>
        </li>
        ...
    </ul>
    <input id=""components-form-token-input-6"" type=""text"" size=""3"" class=""..."" role=""combobox""...>
    ...
</div>",,"Convert this markup to an unordered-list (`<ul>`) with individual list-items (`<li>`).

The `.screen-reader-text` instructions can then be removed, and the `aria-hidden=""true""` should be removed from the remaining visible `<span>`.",Low,1.3.1 Info and Relationships (Level A)  ,
Plain text appears to be a link,GUT-13,Bug,GUT,Gutenberg,Publish and Unpublish   , ,"There are three text elements within the Publish panel (the values for ""Visibility"", ""Publish"", and ""Suggestion"") which are styled to appear as links, but do not function as links. The entire containing element is a button to open or close the expanding region, while the text elements themselves have no direct function.

This may be confusing for users, since the expectation conveyed by their appearance is that these elements are links.

!non-actionable items appear to be actionable.png|alt=Screenshot of the content with the issue described here! ",,Text Content and Typography,"<button class=""components-button components-panel__body-toggle"" aria-expanded=""false"" type=""button"">
   ...
   Visibility:
   <span class=""editor-post-publish-panel__link"">Public</span>
</button>

<button class=""components-button components-panel__body-toggle"" aria-expanded=""false"" type=""button"">
    ...
    Publish:
    <span class=""editor-post-publish-panel__link"">Jan 18, 2019 4:40 pm</span>
</button>

<button class=""components-button components-panel__body-toggle"" aria-expanded=""false"" type=""button"">
   ...
    Suggestion:
    <span class=""editor-post-publish-panel__link"">Add tags</span></button>

/* CSS */
.editor-post-publish-panel__link {
    color: #007fac;
    text-decoration: underline;
    ...
}
",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,"<button class=""components-button components-panel__body-toggle"" aria-expanded=""false"" type=""button"">
   ...
   Visibility:
   <span class=""editor-post-publish-panel__link"">Public</span>
</button>

<button class=""components-button components-panel__body-toggle"" aria-expanded=""false"" type=""button"">
    ...
    Publish:
    <span class=""editor-post-publish-panel__link"">Jan 18, 2019 4:40 pm</span>
</button>

<button class=""components-button components-panel__body-toggle"" aria-expanded=""false"" type=""button"">
   ...
    Suggestion:
    <span class=""editor-post-publish-panel__link"">Add tags</span></button>

/* CSS */
.editor-post-publish-panel__link {
    ...
}",,Remove the `text-decoration` and `color` from these elements so that they don't look like links. ,Medium,1.3.3 Sensory Characteristics (Level A)  ,
Date values in the datepicker are not fully parsed,GUT-12,Bug,GUT,Gutenberg,Document Panel; Publish and Unpublish, ,"When navigating through the datepicker using a screen reader, the current date is announced as (for example) ""Tuesday, F j, 2019"" rather than ""Tuesday, January 15, 2019"".

These same ""F j"" tokens are present in all the `aria-label` attributes within the date picker.

This is almost certainly a technical problem, whereby date tokens are not being parsed into their equivalent language.

!Calendar dates are not read by the screen reader.png|alt=Screenshot of the content with the issue described here! ",,Parsing,"<tr>
   <td tabindex=""-1"" class=""..."" role=""button"" style=""width: 30px; height: 29px;"" aria-label=""Tuesday, F j, 2019"">15</td>
   <td tabindex=""-1"" class=""..."" role=""button"" style=""..."" aria-label=""Wednesday, F j, 2019"">16</td>
   ...
</tr>",Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader ,Blind; Cognitively Impaired; Low-Vision; ,"<tr>
   <td tabindex=""-1"" class=""..."" role=""button"" style=""width: 30px; height: 29px;"" aria-label=""Tuesday,  January 15, 2019"">15</td>
   <td tabindex=""-1"" class=""..."" role=""button"" style=""..."" aria-label=""Wednesday, January 16, 2019"">16</td>
   ...
</tr>",,Ensure that all date tokens are parsed into their equivalent language.,High,  ,
SVGs are focusable in IE ,GUT-11,Bug,GUT,Gutenberg,Output Markup; Publish and Unpublish,SVG ,"The next-month and previous-month buttons within the datepicker contain SVG elements, which are focusable in IE11 because of an anomaly in how IE handles SVG.

This issue also occurs with the ""Previous"" and ""Next"" post navigation links on published pages.

This causes additional tab stops for keyboard users. These Tab stops are also not described for assistive technologies, because they have no accessible names.

The SVG's role (""graphic"" or ""diagram"") may be exposed to screen reader users, but when they are used as decorative icons they should not be announced at all.

 !Additional Tab.png|alt=Screenshot of the content with the issue described here! ",,Keyboard Accessibility and Focus Control,"<svg xmlns=""http://www.w3.org/2000/svg"" class=""DayPickerNavigation_svg__horizontal DayPickerNavigation_svg__horizontal_1"" viewBox=""0 0 1000 1000""><path d=""..."" /></svg>

<svg xmlns=""http://www.w3.org/2000/svg"" class=""DayPickerNavigation_svg__horizontal DayPickerNavigation_svg__horizontal_1"" viewBox=""0 0 1000 1000""><path d=""...></svg>

<!-- published page-->
<a href=""...2018/08/13/hello-world/"" rel=""prev"">
    <span class=""screen-reader-text"">Previous Post</span>
    ...
    <span class=""..."">
        <span class=""..."">
            <svg class=""icon icon-arrow-left"" aria-hidden=""true"" role=""img"">... </svg>
        </span>
        Hello world!
    </span>
</a>
...
<button type=""submit"" class=""search-submit"">
    <svg class=""icon icon-search"" aria-hidden=""true"" role=""img""> ...</svg>
    <span class=""screen-reader-text"">Search</span>
</button>",Windows - Screen Reader; Windows - ZoomText  ,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,"<svg focusable=""false"" aria-hidden=""true"" xmlns=""http://www.w3.org/2000/svg"" class=""DayPickerNavigation_svg__horizontal DayPickerNavigation_svg__horizontal_1"" viewBox=""0 0 1000 1000"">
   <path d=""..."" />
</svg>

<svg focusable=""false"" aria-hidden=""true"" xmlns=""http://www.w3.org/2000/svg"" class=""DayPickerNavigation_svg__horizontal DayPickerNavigation_svg__horizontal_1"" viewBox=""0 0 1000 1000"">
   <path d=""...>
</svg>


<!-- published page-->
<a href=""...2018/08/13/hello-world/"" rel=""prev"">
    <span class=""screen-reader-text"">Previous Post</span>
    ...
    <span class=""..."">
        <span class=""..."">
            <svg focusable=""false"" class=""icon icon-arrow-left"" aria-hidden=""true"" role=""img"">... </svg>
        </span>
        Hello world!
    </span>
</a>
...
<button type=""submit"" class=""search-submit"">
    <svg focusable=""false"" class=""icon icon-search"" aria-hidden=""true"" role=""img""> ...</svg>
    <span class=""screen-reader-text"">Search</span>
</button>",,"Add `focusable=""false""` and `aria-hidden=true` to the SVG elements, so that they're not focusable nor announced by assistive technologies.

",Low,  ,
Undo and Redo functions do not communicate changes,GUT-10,Bug,GUT,Gutenberg,Editor Top Bar   ,Dynamic_content ,"When users navigate to the Editor Top Bar after writing some content, and use the ""Undo"" or ""Redo"" buttons, the only way to know what changed or whether it was successful is to be able to see the page content while activating it.

For a screen reader user, activating the control with Enter communicates nothing, while using Space merely repeats the Space key. Some screen readers announce when the button's state goes from enabled to disabled, while others don't.

Low-vision users who are either zoomed-in or using screen magnification cannot see changes caused by Undo and Redo unless their viewable area includes the content that has changed; in this case, the only apparent state is when they've reached the end of the Undo or Redo buffer, because the buttons change to the disabled colors.

 !undo-redo.png|alt=screenshot in ZoomText showing the hand cursor over the Redo button!



",GUT-94,Dynamic Content,,Android - TalkBack; iOS - VoiceOver; Mac - VoiceOver; Windows - Screen Reader; Windows - ZoomText; ,Blind; Cognitively Impaired; Low-Vision; ,,,"One solution could be an `aria-live` region which describes the change. For example, if a block creation was undone, the live region text might be ""Block deleted.""

Another idea, which would assist low-vision and assistive technology users, would be to add a small number next to the button (similar to a notifications-icon number) showing the number of Undo or Redo actions which are left in the buffer; this number could then be removed when the button is disabled. A screen reader user can then have the live region state how many actions are remaining, and changes to this value would then communicate that an Undo or Redo has occurred (to confirm, for example, that the action has only happened once, rather than multiple times due to holding the Space bar down for too long).",Medium,1.3.1 Info and Relationships (Level A); 1.3.3 Sensory Characteristics (Level A) ; ,
Incorrect cursor used on buttons,GUT-9,Bug,GUT,Gutenberg,Global   ,AUX; Cursor; ,"Buttons throughout the application use the pointer cursor instead of the default.

The use of consistent and relevant cursors may be important for users who have a cognitive disability, since cursors give a visual clue as to an element's functionality. Using the pointer cursor for elements which do not typically show that cursor may be confusing or counter-intuitive for users.

 !cursor.png|alt=Three screenshots: top with ZoomText running and hand cursor over the Publish button. Middle with cursor shown on PM button in the date picket. Bottom with cursor on the Copy Link button!",,Other,"label {
    cursor: pointer;
}

.wp-core-ui .button,
.wp-core-ui .button-primary,
.wp-core-ui .button-secondary {
    cursor: pointer;
    ...
}

input[type=checkbox],
input[type=radio] {
    cursor: pointer;
    ...
}

.components-button {
   cursor: pointer;
    ...
}",All/ Universal,Cognitively Impaired; Low-Vision ,"label {
    cursor: default;
}

.wp-core-ui .button,
.wp-core-ui .button-primary,
.wp-core-ui .button-secondary {
    cursor: default;
    ...
}

input[type=checkbox],
input[type=radio] {
    cursor: default;
    ...
}

.components-button {
   cursor: default;
    ...
}",https://www.w3.org/TR/CSS22/ui.html#cursor-props,"Only controls that navigate users to new pages/views should have the cursor set to `pointer`, while controls performing push-button type actions use `default`.",Low,  ,
Toolbar elements are tabbable,GUT-8,Bug,GUT,Gutenberg,Editor Top Bar   ,Keyboard; Semantics; ,"Keyboard-only users who enter the Editor Top Bar must Tab from button to button. Although this is manageable when there's a small number of buttons, the group of buttons is given the role of `toolbar`, whose purpose (besides grouping related controls) is to lessen the number of Tab stops keyboard users must make to navigate past widgets.

Screen reader users may be told they are entering a toolbar and expect to be able to Tab past everything in it. Their experience does not match the promise of the role.

Screen reader users may also miss the toolbar role when meeting the first item (an anchor), because roles such as toolbar are sometimes only announced when users meet items which can trigger their forms/focus mode. Since the anchor's behaviour is semantically different from the buttons' (the buttons deal with the editable content, the anchor simply takes users back), it may make more sense to keep the anchor out of the toolbar group.

 !toolbar.png|alt=screenshot highlighting the buttons in the toolbar! ",,Keyboard Accessibility and Focus Control,"<div role=""region"" aria-label=""Editor top bar"" class=""edit-post-header"" tabindex=""-1"">
    <div role=""toolbar"" aria-orientation=""horizontal"" class=""edit-post-header-toolbar"" aria-label=""Document tools"">
        <div class=""components-toolbar components-toolbar edit-post-fullscreen-mode-close__toolbar"">
            <a href=""edit.php?post_type=post"" aria-label=""View Posts"" class=""...""><svg aria-hidden=""true""...>...</svg></a>
        </div>
    <div>
        <div class=""editor-inserter"">
            <button type=""button"" aria-label=""Add block"" aria-haspopup=""true"" aria-expanded=""false"" class=""..."">...</button>
        </div>
    </div>
    <button type=""button"" aria-label=""Undo"" aria-disabled=""false"" class=""..."">...</button>
    <button type=""button"" aria-label=""Redo"" aria-disabled=""true"" class=""..."">...</button>
    <div class=""table-of-contents"">
        <button type=""button"" aria-label=""Content structure"" aria-expanded=""false"" aria-disabled=""false"" class=""..."">...</button>
    </div>
    ...
</div>",All/ Universal,Blind; Cognitively Impaired; Motor Impaired; ,"<div role=""region"" aria-label=""Editor top bar"" class=""edit-post-header"" tabindex=""-1"">
    <div class=""..."">
        <a href=""edit.php?post_type=post"" aria-label=""View Posts"" class=""...""><svg aria-hidden=""true""...>...</svg></a>
    </div>
    <div role=""toolbar"" aria-orientation=""horizontal"" class=""edit-post-header-toolbar"" aria-label=""Document tools"">
        <div>
            <div class=""editor-inserter"">
                <button type=""button"" aria-label=""Add block"" aria-haspopup=""true"" aria-expanded=""false"" class=""..."">...</button>
            </div>
        </div>
        <button type=""button"" aria-label=""Undo"" aria-disabled=""false"" class=""..."">...</button>
        <button type=""button"" aria-label=""Redo"" aria-disabled=""true"" class=""..."">...</button>
        <div class=""table-of-contents"">
            <button type=""button"" aria-label=""Content structure"" aria-expanded=""false"" aria-disabled=""false"" class=""..."">...</button>
        </div>
    </div>
    ...
</div>",https://www.w3.org/TR/wai-aria-practices-1.1/#toolbar,"Move the ""View Posts..."" anchor out of the `role=toolbar` section, so the toolbar only has `<button>` children.

Although ideally it would be a better use of the `toolbar` pattern to implement Arrow-keys only, and not support Tab navigation between items, this pattern may not be familiar to all users. Adding support for the Home and End keys (for jumping to the first and last item in the toolbar) will help here: this will allows users who know the keyboard pattern for ARIA toolbars to efficiently get past the toolbar, while leaving the Tab pattern for users who do not.",Medium,2.1.1 Keyboard (Level A)  ,
"Focus not visible on Preview button, and low contrast on various buttons",GUT-7,Bug,GUT,Gutenberg,Editor Top Bar   ,Contrast_nonText; Focus; ,"In the Editor Top Bar, the ""Preview"" button's focus state is not visible. The focus state of the ""Publish"" button is visible but very low contrast; other buttons (such as the default buttons in the Image Block) use the same style:

* #bfe7f3 (light blue) against #fff (white): *1.31:1*.

Since the ""Preview"" button's focus styles aren't shown in most browsers, this also means that the transparent outline meant for Windows High Contrast users does not appear.

All interactive elements should have a visible and obvious focus indicator, so that sighted keyboard users have a clear indication of which element has focus. Sufficient color contrast showing states is important for users who have low-vision or are color-blind, because states with a low contrast ratio may be difficult or impossible for such users to see.

 !focus_styles.png|alt=two screenshots, the first showing lack of focus on the Preview button, the second showing low contrast focus state on the Publish button!



",GUT-20,Color,"/* Publish */
.components-button.is-primary:focus:enabled {
    box-shadow: inset 0 -1px 0 #00435d,0 0 0 2px #bfe7f3;
}
...
/* Preview */
.components-button:focus:enabled {
    box-shadow: inset 0 0 0 1px #6c7781, inset 0 0 0 2px #fff;
    outline: 2px solid transparent;
    outline-offset: -2px;
}
",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,"/* Publish */
.components-button.is-primary:focus {
    outline: 2px solid #00435d;
    box-shadow: inset 0 -1px 0 #00435d,0 0 0 2px #bfe7f3;
}
...
/* Preview */
.components-button:focus {
    box-shadow: inset 0 0 0 1px #6c7781, inset 0 0 0 2px #fff;
    outline: 2px solid transparent;
    outline-offset: -2px;
}",,"The combination of `:focus` with `:enabled` seems unsupported for elements which do not have a `disabled` state in most browsers. Use another method to style focus states until browser support has improved.

Disabled elements shouldn't be able to receive `:focus` states in any case. Anchors used as buttons may be better off using `tabindex=""-1""` in the HTML so that code does not have to specify `:enabled`.

Use a darker blue outline for focus indication to supplement the `box-shadow`.",High,1.4.11 Non-text Contrast (Level AA); 1.4.1 Use of Color (Level A); 2.4.7 Focus Visible (Level AA) ,
